Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA
B1,09/12/00,Mechelen,Anderlecht,0,2,A,0,1,A,6,3.8,1.45,4.7,3.4,1.5,5.25,3.6,1.5,4.75,3.8,1.5
B1,09/12/00,Louvieroise,Gent,1,1,D,0,0,D,3.2,3.5,1.9,3.5,3,1.8,3.25,3.3,1.91,3.1,3.45,1.9
B1,09/12/00,St Truiden,Charleroi,1,3,A,1,2,A,2.5,3.2,2.45,2.35,3,2.35,2.38,3.2,2.5,2.35,3.35,2.4
B1,09/12/00,Westerlo,Beveren,1,2,A,0,2,A,1.6,3.6,4.6,1.5,3.4,4.7,1.53,3.6,5,1.5,3.8,4.8
B1,10/12/00,Aalst,Antwerp,0,4,A,0,2,A,2,3.1,3.4,2,3,2.9,1.91,3.25,3.3,2,3.4,2.9
B1,10/12/00,Club Brugge,Lierse,1,0,H,1,0,H,1.25,4.8,9,1.25,4.3,8,1.25,4.75,8,1.3,4.4,7
B1,10/12/00,Harelbeke,Lokeren,1,6,A,1,2,A,2.7,3.2,2.3,2.8,3,2.1,2.63,3.25,2.25,2.55,3.3,2.25
B1,15/12/00,Charleroi,Westerlo,2,2,D,0,1,A,1.9,3.2,3.6,1.8,3,3.5,1.8,3.5,3.4,1.8,3.5,3.35
B1,16/12/00,Gent,Germinal,3,1,H,2,1,H,1.65,3.3,4.6,1.65,3.2,3.9,1.62,3.5,4.33,1.6,3.6,4.25
B1,16/12/00,Anderlecht,Aalst,3,0,H,2,0,H,1.15,6,11,1.1,7,14,1.14,6,11,1.1,6.8,12
B1,16/12/00,Antwerp,St Truiden,2,0,H,0,0,D,1.85,3.2,3.6,1.8,3,3.5,1.75,3.4,3.75,1.7,3.5,3.8
B1,16/12/00,Beveren,Harelbeke,2,1,H,0,0,D,1.45,3.7,6,1.45,3.5,5,1.44,3.6,6,1.5,3.8,4.8
B1,16/12/00,Lierse,Mechelen,1,1,D,1,1,D,1.4,3.8,6.8,1.3,4,7,1.44,3.6,6,1.45,3.6,5.8
B1,16/12/00,Lokeren,Standard,2,1,H,0,1,A,2.7,3.3,2.2,2.6,3,2.2,2.6,3.4,2.2,2.65,3.35,2.15
